ID|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4
782|I hate when people ask me work related questions after hours.|勤務時間外に仕事関連の質問をされるのは嫌です。|I hate^S+V^core^私は嫌いだ|when people ask me^Adverb Clause^modifier^人々が私に尋ねる時|work related questions^Object^core^仕事関連の質問を|after hours.^Adverb^modifier^営業時間外に
783|There are so many homeless people on the periphery of this town.|この町の周辺にはホームレスの人がたくさんいます。|There are^S+V^core^～がいる|so many homeless people^Subject^core^とても多くのホームレスの人々が|on the periphery^Preposition^modifier^周辺部に|of this town.^Preposition^modifier^この町の
784|You should be humble when you're outside your area of expertise.|専門外のことについては謙虚であるべきです。|You should be humble^S+V+C^core^あなたは謙虚であるべきだ|when you're outside^Adverb Clause^modifier^あなたが外にいる時は|your area of expertise.^Object/Place^core^あなたの専門領域の|
785|This app is very useful for keeping track of my calorie intake.|このアプリはカロリー摂取量を記録するのにとても便利です。|This app is very useful^S+V+C^core^このアプリはとても役に立つ|for keeping track of^Preposition^modifier^追跡（記録）するために|my calorie intake.^Object^core^私のカロリー摂取量を|
786|Feel free to voice your opinion. I promise you won't be judged.|遠慮なく意見を言ってください。批判しないと約束します。|Feel free to voice^Imperative^core^遠慮なく(声を)出して|your opinion.^Object^core^あなたの意見を|I promise^S+V^core^私は約束する|you won't be judged.^Noun Clause^core^あなたが裁かれない（批判されない）ことを
787|Be careful not to injure yourself when you're using that chainsaw.|そのチェーンソーを使う時は、怪我をしないように気をつけて。|Be careful^Imperative^core^気をつけて|not to injure yourself^Infinitive^modifier^怪我をしないように|when you're using^Adverb Clause^modifier^あなたが使っている時は|that chainsaw.^Object^core^そのチェーンソーを
788|Make sure you stretch before exercising to prevent injury.|怪我を防ぐために、運動前には必ずストレッチをしてください。|Make sure^Imperative^core^確実に～して|you stretch^Clause(S+V)^core^あなたがストレッチすることを|before exercising^Preposition^modifier^運動の前に|to prevent injury.^Infinitive^modifier^怪我を防ぐために
789|Come to the realization that makes sense.|それが理にかなっているということに気づきなさい。|Come to the realization^Imperative^core^認識に至れ（気づけ）|that makes sense.^Noun Clause^core^それがプラスの意味がある（理にかなう）と| |
790|Mutually exclusive and collectively exhaustive.|漏れなく、ダブりなく（MECE）。|Mutually exclusive^Adjective Phrase^core^相互に排他的で（ダブりなく）|and^Conjunction^connector^かつ|collectively exhaustive.^Adjective Phrase^core^全体として網羅的（漏れなく）|
791|I bought this snack straight away because it said it was limited edition.|限定版と書いてあったので、すぐにこのお菓子を買いました。|I bought this snack^S+V+O^core^私はこのお菓子を買った|straight away^Adverb^modifier^すぐに|because it said^Conjunction+Clause^connector^書いてあったので|it was limited edition.^Noun Clause^core^限定版であると
792|I know this bag isn't genuine leather, but it looks so nice.|このバッグが本革じゃないのは知ってるけど、すごく素敵に見えるんだ。|I know^S+V^core^私は知っている|this bag isn't genuine leather,^Noun Clause^core^このバッグが本革でないことを|but^Conjunction^connector^しかし|it looks so nice.^S+V+C^core^それはとても素敵に見える
793|Improvisation is a characteristic of jazz music.|即興演奏はジャズ音楽の特徴です。|Improvisation is^S+V^core^即興演奏は～だ|a characteristic^Complement^core^特徴|of jazz music.^Preposition^modifier^ジャズ音楽の|
794|Now that we have twins, we need a more spacious living room.|双子が生まれたので、もっと広いリビングルームが必要です。|Now that we have twins,^Conjunction+Clause^connector^今は双子がいるので|we need^S+V^core^私たちは必要だ|a more spacious living room.^Object^core^もっと広々としたリビングを|
795|Why aren't 2,000 yen notes more commonly used?|なぜ2000円札はもっと一般的に使われないのですか？|Why aren't^V+S^core^なぜ～ではないのか|2,000 yen notes^Subject^core^2000円札は|more commonly used?^Passive Verb^core^もっと一般的に使われる|
796|Is it possible to power a household entirely by solar power?|太陽光発電だけで家庭の電力をまかなうことは可能ですか？|Is it possible^S+V+C^core^可能ですか|to power a household^Infinitive^core^家庭に電力を供給することは|entirely^Adverb^modifier^完全に|by solar power?^Preposition^modifier^太陽光発電によって
797|He was unconscious for a few days, but he's completely fine now.|彼は数日間意識不明でしたが、今は完全に元気です。|He was unconscious^S+V+C^core^彼は意識不明だった|for a few days,^Preposition^modifier^数日間|but^Conjunction^connector^しかし|he's completely fine now.^S+V+C^core^彼は今完全に元気だ
998|I don't have the financial means to buy a new computer right now.|今、新しいパソコンを買う経済的な余裕がありません。|I don't have^S+V^core^私は持っていない|the financial means^Object^core^経済的手段（余裕）を|to buy a new computer^Infinitive^modifier^新しいコンピュータを買うための|right now.^Adverb^modifier^たった今
799|I wonder if India's economy will ever be bigger than China's.|インド経済がいつか中国経済より大きくなることはあるのだろうか。|I wonder^S+V^core^私はかなと思う|if India's economy will ever be^Noun Clause^core^インドの経済がいつか～になるかどうか|bigger^Complement^core^より大きく|than China's.^Preposition^modifier^中国のそれよりも
800|I don't think parents should interfere with their children's decisions.|親は子供の決断に干渉すべきではないと思います。|I don't think^S+V^core^私は思わない|parents should interfere^Noun Clause^core^親が干渉すべきだと|with their children's decisions.^Preposition^modifier^子供たちの決定に|
801|I like how sand in a desert moves like liquid when the wind blows.|風が吹いた時に、砂漠の砂が液体のように動く様子が好きです。|I like^S+V^core^私は好きだ|how sand in a desert moves^Noun Clause^core^砂漠の砂がどう動くかが|like liquid^Preposition^modifier^液体のように|when the wind blows.^Adverb Clause^modifier^風が吹く時に
802|As usual, I went to Starbucks and study for about 5 hours.|いつものようにスタバに行って、約5時間勉強しました。|As usual,^Adverb^modifier^いつものように|I went to Starbucks^S+V+Prep^core^私はスターバックスに行った|and study^Verb^core^そして勉強した|for about 5 hours.^Preposition^modifier^約5時間
803|The Pantheon is one of the most famous landmarks in Rome.|パンテオンは、ローマで最も有名なランドマークの一つです。|The Pantheon is^S+V^core^パンテオンは～だ|one of the most famous landmarks^Complement^core^最も有名なランドマークの一つ|in Rome.^Preposition^modifier^ローマにある|
